Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Triumph Sprint RS,2000,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 9200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6200 RPM,240.0 km/h (149.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,199.0 kg (438.7 pounds),0.5528 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),21.00 litres (5.55 US gallons),"Yellow, orange, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda F6C Valkyrie,2000,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 6000 RPM,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),Liquid,5-speed,,Dual disc,309.0 kg (681.2 pounds),0.3236 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1690 mm (66.5 inches),20.00 litres (5.28 US gallons),"Black, black/silver, green/cream",,Electric,,,"F6C stands for ""Flat Six Custom"". It's engine is a tuned Gold Wing engine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 E,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,113.0 kg (249.1 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W 650,2000,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",676.0 ccm (41.25 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5500 RPM,,Air,5-speed,,Single disc,195.0 kg (429.9 pounds),0.2564 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,2000,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",77.0 HP (56.2  kW)) @ 7500 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 6000 RPM,200.0 km/h (124.3 mph),Liquid,5-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.3889 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),20.00 litres (5.28 US gallons),"Black, red, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R,2000,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 11000 RPM,,280.0 km/h (174.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,183.0 kg (403.4 pounds),0.7814 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),19.00 litres (5.02 US gallons),"Red, blue, green",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 E,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,112.0 kg (246.9 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille R,2000,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 9500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7000 RPM,275.0 km/h (170.9 mph),Liquid,6-speed,,Dual disc,185.0 kg (407.9 pounds),0.6919 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),20.00 litres (5.28 US gallons),Black/orange,Single disc,,,,The R version of the RSV Mille has a slightly modified effect curve and some other details adjusted to provide better racing abilities. Aprilia is only making 1500 of this version a year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TU 250 X Volty,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 4000 RPM,,Air,5-speed,Chain   (final drive),Single disc,125.0 kg (275.6 pounds),0.1600 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 S,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",125.0 HP (91.2  kW)) @ 8500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 7100 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,191.0 kg (421.1 pounds),0.6545 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),17.00 litres (4.49 US gallons),"Red, yellow",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 9250 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7000 RPM,270.0 km/h (167.8 mph),Liquid,6-speed,,Dual disc,189.0 kg (416.7 pounds),0.6772 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),21.00 litres (5.55 US gallons),"Black/red, blue",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,2000,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,220.0 km/h (136.7 mph),Oil & air,5-speed,Chain   (final drive),Dual disc,214.0 kg (471.8 pounds),0.4579 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),19.00 litres (5.02 US gallons),"Black, silver, maroon",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHR Road King,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1499.0 ccm (91.47 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,165.0 km/h (102.5 mph),Air,5-speed,Belt   (final drive),Dual disc,345.0 kg (760.6 pounds),0.1942 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),"Black, red, blue, lilac, orange, blue/gray, orange/gray, red/black, green/black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,2000,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 11800 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 10800 RPM,240.0 km/h (149.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,174.0 kg (383.6 pounds),0.6092 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),18.00 litres (4.76 US gallons),"Blue/white, blue/yellow, red/black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Lightning 500,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),,22.0 HP (16.1  kW)) @ 5400 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 3000 RPM,,,4-speed,,Dual disc,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 Sport,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 8000 RPM,180.0 km/h (111.8 mph),Liquid,6-speed,Chain   (final drive),Single disc,177.0 kg (390.2 pounds),0.3277 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),18.00 litres (4.76 US gallons),"Red, blue, black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100 EV,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,190.0 km/h (118.1 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,254.0 kg (560.0 pounds),0.2913 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,2000,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",929.0 ccm (56.69 cubic inches),"In-line four, four-stroke",152.0 HP (110.9  kW)) @ 11000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 9000 RPM,280.0 km/h (174.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,170.0 kg (374.8 pounds),0.8941 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),18.00 litres (4.76 US gallons),"Blue/red/white, blue/yellow/white, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 610 R,2000,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,,Single disc,118.0 kg (260.1 pounds),,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 8000 RPM,120.0 km/h (74.6 mph),Liquid,6-speed,Chain   (final drive),Single disc,132.0 kg (291.0 pounds),0.1136 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),13.00 litres (3.43 US gallons),"Black, red/white/blue",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE Dual 125,2000,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,110.0 km/h (68.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,108.0 kg (238.1 pounds),0.1389 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),12.00 litres (3.17 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,2000,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,,Dual disc,235.0 kg (518.1 pounds),0.5745 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),22.00 litres (5.81 US gallons),"Red, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch Mammoth 2000,2000,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2000.0 ccm (122.04 cubic inches),"V4, four-stroke",260.0 HP (189.8  kW)) @ 5650 RPM,295.0 Nm (30.1 kgf-m or 217.6 ft.lbs) @ 3500 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Double disc. 4,354.0 kg (780.4 pounds),0.7345 HP/kg,,,26.00 litres (6.87 US gallons),,Single disc. 4,Electric,,4,,,,,,,9.0:1,86.0 x 0.0 mm (3.4 x  inches),Injection. Electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Electronical Münch Motor Steuerung with Lambda Sonde  /  electric,,,,280 mm (11.0 inches),,120/70-zr17 ,200/50-zr17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple,2000,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 9200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5800 RPM,220.0 km/h (136.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,199.0 kg (438.7 pounds),0.5528 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),"Green, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,2000,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,200.0 km/h (124.3 mph),Air,6-speed,Chain   (final drive),Dual disc,208.0 kg (458.6 pounds),0.3750 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),19.00 litres (5.02 US gallons),"Red, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5 Twister,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 7200 RPM,160.0 km/h (99.4 mph),Liquid,6-speed,,Single disc,174.0 kg (383.6 pounds),0.2874 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),"Red, green, blue",Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 SuperMoto,2000,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,,160.0 km/h (99.4 mph),Liquid,,Chain   (final drive),Single disc,,,,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),"Silver/black, orange/black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Zing,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.6 HP (7.7  kW)) @ 9000 RPM,,100.0 km/h (62.1 mph),Air,,Chain   (final drive),Single disc,154.0 kg (339.5 pounds),0.0688 HP/kg,,1400 mm (55.1 inches),14.00 litres (3.70 US gallons),"Black, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 S Virago,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.4 HP (8.3  kW)) @ 8500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8000 RPM,100.0 km/h (62.1 mph),Air,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.0820 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),9.50 litres (2.51 US gallons),"Red/black, silver",Expanding brake,,,,The S version has more chrome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 125,2000,Custom / cruiser," 2.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Oil & air,4-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,Standing valves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki XF 650 Freewind,2000,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,,,5-speed,Chain   (final drive),Single disc,162.0 kg (357.1 pounds),0.2901 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,Single disc,Electric,"850 mm (33.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex 125 Imperator,2000,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 9500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,111.0 kg (244.7 pounds),0.1171 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V10 Centauro GT,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 5800 RPM,,,5-speed,,Dual disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 6,2000,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1100.0 ccm (67.12 cubic inches),"Six cylinder boxer, four-stroke",160.0 HP (116.8  kW)) @ 9500 RPM,,,,5-speed,Chain   (final drive),,,,,,,,,,,,call 01403753978/07779664743 for full details,,,,Double stainless,,,,Carburettor,,,,,,,10000,,,,,,,,,,,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP Majesty 250,2000,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 7500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6000 RPM,120.0 km/h (74.6 mph),Liquid,,,,156.0 kg (343.9 pounds),0.1346 HP/kg,,1535 mm (60.4 inches),12.50 litres (3.30 US gallons),,,,,,Can be delivered with ABS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R7,2000,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 9000 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,176.0 kg (388.0 pounds),0.5682 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),23.00 litres (6.08 US gallons),Red/white,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1380.0 ccm (84.21 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,170.0 km/h (105.6 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Single disc,247.0 kg (544.5 pounds),0.2470 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1620 mm (63.8 inches),13.00 litres (3.43 US gallons),"Black, maroon",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V-Raptor 1000,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",116.0 HP (84.7  kW)) @ 8500 RPM,,220.0 km/h (136.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,197.0 kg (434.3 pounds),0.5888 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),"Red, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,The V-Raptor's engine is retrieved from the Suzuki TL 1000 R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LC 250 Intruder,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",,,,Air,5-speed,Chain   (final drive),Single disc,143.0 kg (315.3 pounds),,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,Expanding brake,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,2000,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,,Air,6-speed,Chain   (final drive),Single disc,,,"855 mm (33.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),12.00 litres (3.17 US gallons),,Expanding brake (drum brake),Kick,,4,,275 mm (10.8 inches),Wet Sump,"Wet, mulyiple disks",,Diamond,9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),Carburettor. Teikei Y24PV,Double Overhead Cams/Twin Cam (DOHC),C.D.I Magneto,coil spring / oil damper,coil spring / gas-oil damper,2240 mm (88.2 inches),130 mm (5.1 inches),8500,3.00-21 ,110/80-58P ,2.00 litres (0.53 US gallons),Minimal.  Some jetting changes.,,,255 mm (10.0 inches),73 mm (2.9 inches),130.0 kg (286.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,1210 mm (47.6 inches),865 mm (34.1 inches),,,,
