Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Nipponia NC 110,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 8000 RPM,7.5 Nm (0.8 kgf-m or 5.5 ft.lbs) @ 6000 RPM,86.0 km/h (53.4 mph),,,,,CDI,Air,4-speed,Belt   (final drive),,,,,,,,,,2.50-17 ,2.75-17 ,Single disc,,Expanding brake (drum brake),94.0 kg (207.2 pounds),0.0855 HP/kg,,,,,4.00 litres (1.06 US gallons),"Red, Black, Metallic Blue",Electric & kick,Club type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 9 1-2,2009,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",115.3 HP (84.2  kW)) @ 8500 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 6700 RPM,,12.5:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection. Magneti Marelli indirect electronic injection with 54 				mm throttle body,Double Overhead Cams/Twin Cam (DOHC),I.A.W. electronic,Liquid,6-speed,Chain   (final drive),"Wet, multi-plate type",,,"Silencer, 3-way catalytic converter with oxygen sensor. Euro 3.",,,,Marzocchi upside-down fork,Single lateral shock absorber with fully adjustable pibby tank,120/70-R17 ,180/55-R17 ,Double disc. Bremo,220 mm (8.7 inches),Single disc. Bremo,198.0 kg (436.5 pounds),0.5824 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,21.00 litres (5.55 US gallons),"Black/red, black/silver",Electric,,4,,2170 mm (85.4 inches),,Forced with trochoidal pump,150 mm (5.9 inches),150 mm (5.9 inches),162 mm (6.4 inches),,,,4.50 litres (1.19 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Mana 850 ABS,2009,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",75.1 HP (54.8  kW)) @ 8000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 5000 RPM,,10.0:1,88.0 x 69.0 mm (3.5 x 2.7 inches),Injection. Integrated engine management system.  Weber Marelli electronic fuel injection with one 38 mm throttle body.,Single Overhead Cams (SOHC),"Digital electronic ignition, with two spark plugs per cylinder, integrated with fuel injection system.",Liquid,Automatic,Chain   (final drive),Automatic,,,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe.,,25.0°,103 mm (4.1 inches),43 mm upside-down fork. Wheel travel: 120 mm.,Aluminium alloy single-piece swingarm.,120/70-17. ,180/55-17. ,Double disc,260 mm (10.2 inches),Single disc,181.0 kg (399.0 pounds),0.4149 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1463 mm (57.6 inches),16.00 litres (4.23 US gallons),Lead grey,,"Gearbox with manual or automatic mode selectable by the user. 7 ratios in manual mode. 3 mappings (Touring, Sport, Rain) in automatic mode. ",4,1130 mm (44.5 inches),2080 mm (81.9 inches),800 mm (31.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ85,2009,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,,,8.2:1,47.5 x 47.8 mm (1.9 x 1.9 inches),Carburettor. Keihin® PWK 28,,,Liquid,6-speed,Chain   (final drive),"Wet, multiplate",,,,,,,Inverted fork,Single shock,70/80-M17 ,90/90-M14 ,Single disc,190 mm (7.5 inches),Single disc,,,,,"864 mm (34.0 inches) If adjustable, lowest setting.",1257 mm (49.5 inches),4.92 litres (1.30 US gallons),Blue/white,,,,1161 mm (45.7 inches),1821 mm (71.7 inches),785 mm (30.9 inches),,274 mm (10.8 inches),282 mm (11.1 inches),351 mm (13.8 inches),,,70.8 kg (156.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Ulysses XB12X,2009,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1202.9 ccm (73.40 cubic inches),"V2, four-stroke",103.0 HP (75.2  kW)) @ 6800 RPM,113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,,10.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. 49 mm down draft DDFI III fuel injection,Overhead Valves (OHV),,Oil & air,5-speed,Belt   (final drive),"Wet, multi-plate, compensated",,,"Tuned, tri-pass resonance chamber with InterActive valve and mass-centralised mounting","Aluminium frame with Uniplanar™ powertrain vibration isolation system, fuel in frame",23.5°,,"47 mm Showa inverted forks with rearward offset axle, adjustable compression damping, rebound damping and spring preload","Showa coil-over monoshock with remote reservoir and remote spring preload adjustment, fully adjustable (compression damping, rebound damping and spring preload)",120/70-ZR17 ,180/55-ZR17 ,"Single disc. ZTL™ brake, 6-piston, fixed caliper; single-sided, inside-out, stainless steel, floating rotor",240 mm (9.4 inches),"Single disc. Two-piston, direct mount caliper; stainless steel, fixed rotor",,,,,,1374 mm (54.1 inches),16.65 litres (4.40 US gallons),Thrust Blue; Barricade Orange,,,2,,2159 mm (85.0 inches),892 mm (35.1 inches),,165 mm (6.5 inches),162 mm (6.4 inches),171 mm (6.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 2000 Classic LT,2009,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",,191.2 Nm (19.5 kgf-m or 141.0 ft.lbs) @ 2800 RPM,,,103.0 x 123.2 mm (4.1 x 4.9 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,Liquid,5-speed,Belt   (final drive),,,,,"Steel, double-cradle with box-section single-tube backbone",32.0°,183 mm (7.2 inches),49mm telescopic fork / 5.9 in.,"Triangulated steel tube swingarm with direct-action single shock, fully-adjustable spring preload, eight-way rebound damping / 3.9 in.",150/80-16 ,200/60-16 ,Double disc,320 mm (12.6 inches),Single disc,401.1 kg (884.2 pounds),,,,"681 mm (26.8 inches) If adjustable, lowest setting.",,20.81 litres (5.50 US gallons),"Metallic Diablo Black/Candy Diamond Red, Neutron Silver/Candy Imperial Blue",,,4,1481 mm (58.3 inches),2535 mm (99.8 inches),1026 mm (40.4 inches),,,,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI ATV XT 50,2009,ATV," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 6000 RPM,,,,,,,,Air,Automatic,Belt   (final drive),,,,,,,,Hyraulic telescope fork,"Hydraulic gas pressure suspensions, adjustable",21/7-10 ,21/10-80 ,Expanding brake (drum brake),,Single disc,,,,,,,7.00 litres (1.85 US gallons),"Blue, black",Electric & kick,"2 back mirrors,LED-direction indicator,high and low beam,   multifunctional digital dashboard, chromed steel rim.",,1080 mm (42.5 inches),1685 mm (66.3 inches),1045 mm (41.1 inches),,35 mm (1.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Sled ProStreet 100 Carb,2009,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),149.2 Nm (15.2 kgf-m or 110.0 ft.lbs),,,,Carburettor. S and S Super E Carburetor,,,Liquid,6-speed,Chain   (final drive),,,,,BBC Sled ProStreet  Softail,40.0°,95 mm (3.8 inches),BBC Smooth Mount Hidden Axle,Progressive,90/80-21 ,300/80-18 ,Single disc. P.M. 4-piston calipers,,Single disc. BBC P.M. 4-piston caliper BrakeDrive system,316.6 kg (698.0 pounds),0.3001 HP/kg,,,"508 mm (20.0 inches) If adjustable, lowest setting.",2184 mm (86.0 inches),15.14 litres (4.00 US gallons),"Gross Black, satin black, charcoal, silver, black cherry, candy red, firecracker red, orange, blue.",Electric,Model also called BBC Sled ProStreet 100 SMOOTH™ Carb Evolution. Various wheel and paint scheme options.,,,2870 mm (113.0 inches),,S and S High volume oil pump,,76 mm (3.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia MXV 4.5,2009,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"V2, four-stroke",,,,13.0:1,76.0 x 49.5 mm (3.0 x 1.9 inches),Injection. Integrated engine management system controlling ignition and fuel injection.  Throttle body: 38 mm. Hard and soft mappings selectable from the handlebars.,,Electronic digital (batteryless).,Liquid,4-speed,Chain   (final drive),"Multi-plate in oil bath, cable operated.",,,Conforming to FIM standards for 2009.,Cr-Mo steel perimeter frame with aluminium alloy vertical members. Headstock rake angle 26.2°. Lightweight rear frame section.,,,50 mm Marzocchi upside down fork with adjustments for compression and rebound.,"Pro-Link with Sachs monoshock, adjustable in compression and rebound.",80/100-21 ,110/90-19 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"960 mm (37.8 inches) If adjustable, lowest setting.",1499 mm (59.0 inches),7.40 litres (1.96 US gallons),Red off,Kick,,,,2190 mm (86.2 inches),815 mm (32.1 inches),Dry sump. Separate gearbox lubrication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Cycle Works Detroit Cruiser,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,,,,,,,,6-speed,,,,,Custom Hooker header exhaust pipes,"PCW softail frame. Tube forks , 2” under with 3 deg trees",34.0°,,,,90/90-21 ,250-18 ,Single disc. Wilwood brake calipers with polished S.S. rotors.,292 mm (11.5 inches),Single disc. Wilwood brake calipers with polished S.S. rotors.,,,,,,1727 mm (68.0 inches),18.92 litres (5.00 US gallons),Custom one color paint.,Electric,Black or polished S and S 96ci motor. Wire wheels. Steel front and rear fender. carbon fiber composite gas tank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB6 R,2009,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1079.0 ccm (65.84 cubic inches),"V2, four-stroke",,,,10.0:1,98.0 x 71.5 mm (3.9 x 2.8 inches),Injection. Walbro,Desmodromic valve control,,Air,,Chain   (final drive),Dry clutch Multi-disc with hydraulic actuation system,,,"2 in 1 in 2, inox",,24.0°,,50 mm Marzocchi UD fork TiN fully adjustable,"Extreme Tech Monoshock fully adjustable, compression low/high speed",120/70-ZR17 ,180/70-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),,Electric,,2,1110 mm (43.7 inches),2045 mm (80.5 inches),830 mm (32.7 inches),Wet Sump,,,175 mm (6.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Noble 125,2009,Scooter," 2.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.6 HP (6.3  kW)) @ 7500 RPM,9.3 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 4000 RPM,90.0 km/h (55.9 mph),9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),C.D.I,Air,Automatic,Belt   (final drive),,,,,,,,Grease shock absorber,Hydraulic shock absorber,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),90.0 kg (198.4 pounds),0.0954 HP/kg,,,,1255 mm (49.4 inches),6.00 litres (1.59 US gallons),Silver/red,Electric & kick,Adly Moto is a Taiwanese brand.,,1160 mm (45.7 inches),1780 mm (70.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki QuadRacer R450,2009,ATV," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",,,,11.7:1,95.5 x 62.8 mm (3.8 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic,Liquid,5-speed,Chain   (final drive),,,,,,,,"Independent, double wishbone, coil spring, oil damped","Swingarm type, coil spring, oil damped",20/7-10 ,18/10-8 ,Double disc,,Single disc,,,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1285 mm (50.6 inches),9.00 litres (2.38 US gallons),Yellow,Electric,,4,1085 mm (42.7 inches),1845 mm (72.6 inches),1245 mm (49.0 inches),Dry sump,,,240 mm (9.4 inches),,,188.0 kg (414.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Flyrite Choppers Scorcher,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,,,,Carburettor,Overhead Valves (OHV),Electronic Single Fire,,6-speed,Chain   (final drive),,,,,Rigid,39.0°,,Stock Springer,,3.00-21 ,MT90-60 ,Single disc. FRC 4-piston,,Single disc. FRC 2-piston,,,,,"610 mm (24.0 inches) If adjustable, lowest setting.",,8.70 litres (2.30 US gallons),,Electric,S and S Engine,,,2438 mm (96.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa GT Navy 125,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)),12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,,,Carburettor,,,Liquid,,Belt   (final drive),,,,,,,,Single leg with coil spring and double acting hydraulic shock absorber coaxial spring,Two double acting shock absorbers with adjustable spring preload,120/70-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,144.0 kg (317.5 pounds),0.0972 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,9.50 litres (2.51 US gallons),Navy blue,Electric,,4,1180 mm (46.5 inches),1940 mm (76.4 inches),770 mm (30.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Skyliner 125,2009,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 9000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8000 RPM,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),Carburettor. TK 28/5D8,,C.D.I.,Liquid,Automatic,Belt   (final drive),Automatic centrifugal,,,,,,,Telescopic fork,Unit swing,120/70-12 ,130/70-12 ,Single disc,190 mm (7.5 inches),Single disc,,,,,"774 mm (30.5 inches) If adjustable, lowest setting.",,10.50 litres (2.77 US gallons),"Gray, silver, white",Electric,,,1285 mm (50.6 inches),2030 mm (79.9 inches),745 mm (29.3 inches),Wet sump,110 mm (4.3 inches),95 mm (3.7 inches),102 mm (4.0 inches),,,137.0 kg (302.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania MH7 125 Naked,2009,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9000 RPM,,,10.0:1,58.6 x 52.0 mm (2.3 x 2.0 inches),Carburettor. CVEK C2T7,,,Liquid,,Chain   (final drive),,,,,Deltabox,,,Paioli Upside down fork,Ollé monoshock,100/80-17 ,130/70-17 ,Single disc. Tecme,220 mm (8.7 inches),Single disc. Tecme,120.0 kg (264.6 pounds),0.1250 HP/kg,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1310 mm (51.6 inches),12.50 litres (3.30 US gallons),"Blue, white, red",Electric & kick,MH bikes are made in Spain. Minarelli-Yamaha engine,,,1980 mm (78.0 inches),750 mm (29.5 inches),,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fischer MRX SP,2009,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,647.0 ccm (39.48 cubic inches),"V2, four-stroke",77.0 HP (56.2  kW)) @ 9400 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 7500 RPM,,,81.6 x 62.0 mm (3.2 x 2.4 inches),Carburettor. Dual Mikuni,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with variable mapping,Liquid,6-speed,,,,,Dual-chamber stainless,One-piece alloy frame,,98 mm (3.9 inches),43mm inverted telescopic with  compression and rebound adjustment,"Ohlins single shock with adjustable ride height, compression damping, and spring preload",120/70-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,157.4 kg (347.0 pounds),0.4892 HP/kg,,,"749 mm (29.5 inches) If adjustable, lowest setting.",1397 mm (55.0 inches),17.03 litres (4.50 US gallons),"Solar Fury, Rocket Red, StarWhite, Executive Ebony, Silver Carbon Stealth",Electric,,4,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX-F,2009,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.6 ccm (15.17 cubic inches),"Single cylinder, four-stroke",,,,12.8:1,76.0 x 54.8 mm (3.0 x 2.2 inches),Carburettor. Keihin MX FCR 39,Double Overhead Cams/Twin Cam (DOHC),Kokusan,Liquid,6-speed,Chain   (final drive),"Wet multi-disc clutch, operated hydraulically",,,Aluminium,Central double-cradle-type 25CrMo4. Aluminium subframe.,26.5°,,"WP USD, 48 mm",WP PDS shock absorber,80/100-21 ,100/90-19 ,Single disc,220 mm (8.7 inches),Single disc,98.0 kg (216.1 pounds),,,,"985 mm (38.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),8.00 litres (2.11 US gallons),Orange/black,Kick,,4,,,,Pressure lubrication,300 mm (11.8 inches),335 mm (13.2 inches),380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR250R,2009,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,11.8:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Direct ignition coil,Liquid,6-speed,Chain   (final drive),,3.31 litres/100 km (30.2 km/l or 71.06 mpg),76.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Inverted fork,Single shock,80/70-21 ,120/80-18 ,Single disc,230 mm (9.1 inches),Single disc,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),7.57 litres (2.00 US gallons),Team Yamaha Blue/White,,,,1229 mm (48.4 inches),2174 mm (85.6 inches),810 mm (31.9 inches),,269 mm (10.6 inches),269 mm (10.6 inches),300 mm (11.8 inches),,,133.8 kg (295.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 GS,2009,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",84.5 HP (61.7  kW)) @ 7500 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 5750 RPM,,12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),Injection. Electronic intake pipe injection / digital engine management (BMS-K),Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),"Multiple-disc clutch in oil bath, mechanically operated",3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 3,"Tubular steel space frame, load-bearing engine",26.0°,117 mm (4.6 inches),"Upside-down front fork, Ø 45 mm","Cast aluminium dual swing arm, WAD strut (travel related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",90/90-21 ,150/70-17 ,Double disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,185.0 kg (407.9 pounds),0.4566 HP/kg,,,"880 mm (34.6 inches) If adjustable, lowest setting.",1578 mm (62.1 inches),16.00 litres (4.23 US gallons),"Sunset yellow/black satin, Dark magnesium metallic matt",,,4,1350 mm (53.1 inches),2320 mm (91.3 inches),945 mm (37.2 inches),,230 mm (9.1 inches),215 mm (8.5 inches),,,,207.0 kg (456.4 pounds),4.00 litres (1.06 US gallons),,"850 mm (33.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Vespa LXV 150,2009,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 6000 RPM,95.0 km/h (59.0 mph),,62.5 x 48.5 mm (2.5 x 1.9 inches),Injection,Single Overhead Cams (SOHC),Electric and kick start,Air,Automatic,Belt   (final drive),Dry,,,,,,,Single arm with helical spring and dual effect hydraulic single shock absorber,Coil spring and dual effect single shock absorber,110/70-11 ,120/70-10 ,Single disc,,Expanding brake (drum brake),110.0 kg (242.5 pounds),0.1060 HP/kg,,,,1280 mm (50.4 inches),,"Green, ivory",Electric & kick,,2,,1801 mm (70.9 inches),737 mm (29.0 inches),"Wet sump, 850cc capacity; chain-driven lobe pump; intake and delivery filters",,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas Jackpot,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,,8.7:1,101.0 x 102.0 mm (4.0 x 4.0 inches),Injection. Electronic with 45mm throttle bodies,Single Overhead Cams (SOHC),,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",,,Staggered slash-cut dual exhaust with crossover,,32.9°,125 mm (4.9 inches),"Conventional telescopic fork, 43mm diameter, 5.1in/130mm travel","Single, mono-tube gas,cast aluminum with rising rate linkage , 3.9in/100mm travel, preload adjustable spring",90/90-21 ,250/40-B18 ,Single disc. 4-piston caliper,300 mm (11.8 inches),Single disc. 2-piston caliper,294.0 kg (648.2 pounds),,,,"653 mm (25.7 inches) If adjustable, lowest setting.",1684 mm (66.3 inches),17.03 litres (4.50 US gallons),"Solid Black, Solid Boardwalk blue, Solid Sunset Red, Orange Crush w/Extreme Graphics, Lucky Lime w/Extreme Graphics",,,4,,2438 mm (96.0 inches),,,130 mm (5.1 inches),75 mm (3.0 inches),135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
