Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Suzuki DR 125 SE,2001,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,,,,,,6-speed,Chain   (final drive),,,,,Single disc,,,114.0 kg (251.3 pounds),0.1053 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 604 Supermoto,2001,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 7500 RPM,,,,,,5-speed,,,,,,Single disc,,Single disc,132.0 kg (291.0 pounds),0.4015 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 6250 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5250 RPM,146.0 km/h (90.7 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),225 mm (8.9 inches),200 mm (7.9 inches),90/90-S21 ,120/90-S17 ,Dual disc,220 mm (8.7 inches),Single disc,164.0 kg (361.6 pounds),0.2439 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),15.00 litres (3.96 US gallons),Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 P Savage,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 3400 RPM,,,,,5-speed,,,,,,Single disc,,,160.0 kg (352.7 pounds),0.2125 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Supersport,2001,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8250 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6000 RPM,210.0 km/h (130.5 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),2,Injection,5-speed,Chain   (final drive),120 mm (4.7 inches),136 mm (5.4 inches),120/60-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,181.0 kg (399.0 pounds),0.3370 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch Mammut 2000,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1998.0 ccm (121.92 cubic inches),"In-line four, four-stroke",260.0 HP (189.8  kW)) @ 5650 RPM,295.0 Nm (30.1 kgf-m or 217.6 ft.lbs) @ 3500 RPM,250.0 km/h (155.3 mph),86.0 x 86.0 mm (3.4 x 3.4 inches),4,Turbo,6-speed,Chain   (final drive),120 mm (4.7 inches),65 mm (2.6 inches),120/70-ZR17 ,200/50-ZR17 ,Dual disc,280 mm (11.0 inches),Single disc,354.0 kg (780.4 pounds),0.7345 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1540 mm (60.6 inches),26.50 litres (7.00 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The top speed of this mighty bike is electronically limited to 250 km/h, which may help keeping the owners alive. This bike's power is immense!!!",,,,,
Moto Guzzi V 10 Centauro,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,217.0 km/h (134.8 mph),90.0 x 78.0 mm (3.5 x 3.1 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),18.00 litres (4.76 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico 500 Supermoto,2001,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",67.0 HP (48.9  kW)),,170.0 km/h (105.6 mph),86.5 x 85.0 mm (3.4 x 3.3 inches),,Carburettor,5-speed,Chain   (final drive),305 mm (12.0 inches),320 mm (12.6 inches),120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,111.0 kg (244.7 pounds),0.6036 HP/kg,"930 mm (36.6 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Baghira Forest,2001,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,154.0 km/h (95.7 mph),100.0 x 84.0 mm (3.9 x 3.3 inches),4,Carburettor,4-speed,Chain   (final drive),280 mm (11.0 inches),280 mm (11.0 inches),90/90-21 ,120/80-18 ,Single disc,245 mm (9.6 inches),Single disc,170.0 kg (374.8 pounds),0.2941 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,"930 mm (36.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 Independent,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,172.0 km/h (106.9 mph),101.0 x 73.0 mm (4.0 x 2.9 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR15 ,Dual disc,285 mm (11.2 inches),Single disc,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),Air,Electric,256.0 kg (564.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,2001,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 8000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6000 RPM,218.0 km/h (135.5 mph),79.0 x 63.8 mm (3.1 x 2.5 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),88 mm (3.5 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,267 mm (10.5 inches),Single disc,230.0 kg (507.1 pounds),0.4652 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 E Supermoto,2001,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,100.0 x 82.0 mm (3.9 x 3.2 inches),4,Carburettor,6-speed,Chain   (final drive),280 mm (11.0 inches),320 mm (12.6 inches),120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,113.0 kg (249.1 pounds),,"900 mm (35.4 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 900,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",78.0 HP (56.9  kW)) @ 8250 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 6750 RPM,210.0 km/h (130.5 mph),92.0 x 68.0 mm (3.6 x 2.7 inches),2,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),144 mm (5.7 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,185.0 kg (407.9 pounds),0.4216 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Springer,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5300 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,170.0 km/h (105.6 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),107 mm (4.2 inches),103 mm (4.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"654 mm (25.7 inches) If adjustable, lowest setting.",1660 mm (65.4 inches),18.90 litres (4.99 US gallons),Air,Electric,315.0 kg (694.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 10 Centauro Sport,2001,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,217.0 km/h (134.8 mph),90.0 x 78.0 mm (3.5 x 3.1 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),18.00 litres (4.76 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 Fazer,2001,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,225.0 km/h (139.8 mph),62.0 x 49.6 mm (2.4 x 2.0 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),110/70-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico 500 Enduro,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",67.0 HP (48.9  kW)),,170.0 km/h (105.6 mph),86.5 x 85.0 mm (3.4 x 3.3 inches),,Carburettor,5-speed,Chain   (final drive),305 mm (12.0 inches),320 mm (12.6 inches),120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,111.0 kg (244.7 pounds),0.6036 HP/kg,"930 mm (36.6 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 8 R Special,2001,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 10000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8500 RPM,,,,,5-speed,Chain   (final drive),,,,,Dual disc,,Single disc,178.0 kg (392.4 pounds),0.7584 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Nuda,2001,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",79.0 HP (57.7  kW)) @ 7500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 6500 RPM,,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),136 mm (5.4 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,188.0 kg (414.5 pounds),0.4202 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,2001,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6400 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 4600 RPM,160.0 km/h (99.4 mph),100.0 x 82.0 mm (3.9 x 3.2 inches),4,Carburettor,5-speed,Chain   (final drive),260 mm (10.2 inches),260 mm (10.2 inches),90/90-21 ,120/90-17 ,Single disc,240 mm (9.4 inches),Single disc,,,"890 mm (35.0 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),13.00 litres (3.43 US gallons),Oil & air,Electric,165.0 kg (363.8 pounds),8.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90 seconds,19.20 seconds,46.6,,,,,,,,,,,,,
Suzuki GS 500 E,2001,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 7800 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7400 RPM,160.0 km/h (99.4 mph),74.0 x 56.6 mm (2.9 x 2.2 inches),2,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),115 mm (4.5 inches),110/70-17 ,130/70-17 ,Single disc,250 mm (9.8 inches),Single disc,173.0 kg (381.4 pounds),0.1965 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 TF Royal Star Venture,2001,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",95.0 HP (69.3  kW)) @ 6000 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 4500 RPM,185.0 km/h (115.0 mph),79.0 x 66.0 mm (3.1 x 2.6 inches),4,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),105 mm (4.1 inches),150/80-H16 ,150/90-H15 ,Dual disc,320 mm (12.6 inches),Single disc,375.0 kg (826.7 pounds),0.2533 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",1705 mm (67.1 inches),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125,2001,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,,,,,5-speed,,,,,,Single disc,,,126.0 kg (277.8 pounds),0.0794 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 125 LC Intruder,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",13.5 HP (9.9  kW)) @ 10500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,100.0 km/h (62.1 mph),44.0 x 40.9 mm (1.7 x 1.6 inches),3,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),90 mm (3.5 inches),90/90-18 ,130/90-15 ,Dual disc,130 mm (5.1 inches),Expanding brake,140.0 kg (308.6 pounds),0.0964 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",1520 mm (59.8 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,2001,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 10400 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8500 RPM,120.0 km/h (74.6 mph),56.0 x 50.6 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),133 mm (5.2 inches),110/70-ZR17 ,150/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,129.0 kg (284.4 pounds),0.1163 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Stryker 125,2001,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.3 HP (7.5  kW)) @ 8500 RPM,8.9 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,100.0 km/h (62.1 mph),57.0 x 48.8 mm (2.2 x 1.9 inches),2,Carburettor,5-speed,Chain   (final drive),210 mm (8.3 inches),200 mm (7.9 inches),90/90-18 ,130/80-17 ,Single disc,140 mm (5.5 inches),Expanding brake,141.0 kg (310.9 pounds),0.0730 HP/kg,"905 mm (35.6 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXE 125 Enduro,2001,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,,110.0 km/h (68.4 mph),54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor,6-speed,Chain   (final drive),220 mm (8.7 inches),260 mm (10.2 inches),,,Single disc,220 mm (8.7 inches),Single disc,104.0 kg (229.3 pounds),0.1442 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",1461 mm (57.5 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Reflex NSS 250,2001,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,132.0 km/h (82.0 mph),,2,Carburettor. CV 30mm,,Belt   (final drive),99 mm (3.9 inches),97 mm (3.8 inches),110/90-13 ,130/70-12 ,Single disc. 3 pot calipers,,Single disc. Single pot caliper,170.0 kg (374.8 pounds),,"719 mm (28.3 inches) If adjustable, lowest setting.",1544 mm (60.8 inches),12.00 litres (3.17 US gallons),Liquid,Electric,179.0 kg (394.6 pounds),,,Wet sump Forced pressure,dry centrifugal,3.61 litres/100 km (27.7 km/l or 65.16 mpg),83.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Underbone,95 mm (3.7 inches),Telescopic Fork,Dual shocks,,1359 mm (53.5 inches),,,,,,,,,,,,,,,2210 mm (87.0 inches),759 mm (29.9 inches),,,,Overhead Cams (OHC),27.0°,130 mm (5.1 inches),,,,,,,,,,abs brakes available
Moto Guzzi California EV,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),92.0 x 80.0 mm (3.6 x 3.1 inches),2,Injection,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),120 mm (4.7 inches),110/90-VB18 ,140/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,251.0 kg (553.4 pounds),0.2908 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),19.00 litres (5.02 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C Shadow,2001,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",89.0 HP (65.0  kW)) @ 9000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 7250 RPM,,,,,5-speed,,,,,,Single disc,,,229.0 kg (504.9 pounds),0.3886 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,,Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZR-7,2001,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7300 RPM,205.0 km/h (127.4 mph),66.0 x 54.0 mm (2.6 x 2.1 inches),2,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,205.0 kg (451.9 pounds),0.3707 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 400,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,,,91.5 x 60.8 mm (3.6 x 2.4 inches),4,Carburettor,6-speed,Chain   (final drive),300 mm (11.8 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,116.0 kg (255.7 pounds),0.2931 HP/kg,"920 mm (36.2 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Adventurer,2001,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",69.0 HP (50.4  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,190.0 km/h (118.1 mph),76.0 x 65.0 mm (3.0 x 2.6 inches),4,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),136 mm (5.4 inches),100/90-R19 ,150/80-R16 ,Single disc,285 mm (11.2 inches),Single disc,211.0 kg (465.2 pounds),0.3270 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1620 mm (63.8 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 5000 RPM,157.0 km/h (97.6 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),220 mm (8.7 inches),200 mm (7.9 inches),90/90-S21 ,120/90-S17 ,Single disc,230 mm (9.1 inches),Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
