Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Honda XR 80 R,2002,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",80.0 ccm (4.88 cubic inches),"Single cylinder, four-stroke",9.7:1,47.5 x 45.0 mm (1.9 x 1.8 inches),,Air,5-speed,140 mm (5.5 inches),109 mm (4.3 inches),,,Expanding brake,,Expanding brake,69.9 kg (154.1 pounds),,,,1209 mm (47.6 inches),6.80 litres (1.80 US gallons),1.40 litres (0.37 US gallons),,,,,2,Chain   (final drive),,,,"726 mm (28.6 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),206 mm (8.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC Boy 50 (with power-boost kit),2002,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,68.2 ccm (4.16 cubic inches),"Single cylinder, two-stroke",,47.0 x 39.3 mm (1.9 x 1.5 inches),Carburettor,Liquid,2-speed,140 mm (5.5 inches),155 mm (6.1 inches),-14 ,-12 ,Single disc,130 mm (5.1 inches),Single disc,,,,,,,,Kick,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Jet 2,2002,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Carburettor. Keihin 12 mm,Air,Automatic,,,,,,,,,,,,,,,,,,48.3 km/h (30.0 mph),,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDX Dyna Super Glide Sport,2002,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,100/90-19 51V ,150/80-B16 71V ,Dual disc,292 mm (11.5 inches),Single disc,300.0 kg (661.4 pounds),,2310 mm (90.9 inches),,1595 mm (62.8 inches),18.50 litres (4.89 US gallons),3.40 litres (0.90 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,,,Belt   (final drive),,,,"692 mm (27.2 inches) If adjustable, lowest setting.",,149 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2002,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",10.0:1,76.0 x 65.0 mm (3.0 x 2.6 inches),Carburettor,Liquid,6-speed,,,,,Single disc,285 mm (11.2 inches),Single disc,220.0 kg (485.0 pounds),1150 mm (45.3 inches),2250 mm (88.6 inches),810 mm (31.9 inches),1580 mm (62.2 inches),15.00 litres (3.96 US gallons),,,69.0 HP (50.4  kW)) @ 8000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 4000 RPM,,,,,,0.3136 HP/kg,"776 mm (30.6 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Rebel 250,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",233.8 ccm (14.27 cubic inches),"Twin, four-stroke",9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor,,5-speed,116 mm (4.6 inches),75 mm (3.0 inches),,,Single disc,130 mm (5.1 inches),Expanding brake,141.0 kg (310.9 pounds),1080 mm (42.5 inches),2195 mm (86.4 inches),835 mm (32.9 inches),1460 mm (57.5 inches),10.00 litres (2.64 US gallons),,,17.5 HP (12.8  kW)) @ 8250 RPM,17.3 Nm (1.8 kgf-m or 12.8 ft.lbs) @ 5500 RPM,,,Chain   (final drive),,,0.1241 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",988.0 ccm (60.29 cubic inches),"In-line four, four-stroke",12.0:1,73.0 x 59.0 mm (2.9 x 2.3 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Dual disc,,Single disc,170.0 kg (374.8 pounds),1135 mm (44.7 inches),2045 mm (80.5 inches),715 mm (28.1 inches),1410 mm (55.5 inches),18.00 litres (4.76 US gallons),,,,,,4,Chain   (final drive),,,,"830 mm (32.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 300 R,2002,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",,,,,6-speed,,,,,Single disc,,Single disc,105.0 kg (231.5 pounds),,,,,,,,33.0 HP (24.1  kW)),,,4,Chain   (final drive),,,0.3143 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600 M,2002,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,,Single disc,163.0 kg (359.4 pounds),1135 mm (44.7 inches),2040 mm (80.3 inches),715 mm (28.1 inches),1400 mm (55.1 inches),18.00 litres (4.76 US gallons),,,,,,4,Chain   (final drive),,,,"830 mm (32.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883 R Sportster,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,245.0 kg (540.1 pounds),,2235 mm (88.0 inches),,1510 mm (59.4 inches),12.50 litres (3.30 US gallons),1.90 litres (0.50 US gallons),,,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 4000 RPM,,,Belt   (final drive),,,,"711 mm (28.0 inches) If adjustable, lowest setting.",,154 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Centennial Edition Daytona,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",12.0:1,79.0 x 65.0 mm (3.1 x 2.6 inches),Injection,Liquid,6-speed,,,,,Dual disc,220 mm (8.7 inches),Single disc,191.0 kg (421.1 pounds),1165 mm (45.9 inches),2072 mm (81.6 inches),725 mm (28.5 inches),1426 mm (56.1 inches),21.00 litres (5.55 US gallons),,,149.0 HP (108.8  kW)) @ 10700 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 8200 RPM,,,Chain   (final drive),,,0.7801 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,This special edition marks 100 years of Triumph motorcycles.,,,,,,Aston Green,,,,,,,,,
Suzuki Grasstracker BigBoy,2002,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor,Air,5-speed,,,100/90-19 57P ,130/80-18 66P ,Single disc,,Expanding brake,127.0 kg (280.0 pounds),1145 mm (45.1 inches),2135 mm (84.1 inches),910 mm (35.8 inches),1405 mm (55.3 inches),6.00 litres (1.59 US gallons),,,20.0 HP (14.6  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,4,,,,0.1575 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Legend,2002,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",145.5 ccm (8.88 cubic inches),"Single cylinder, four-stroke",,,,Air,4-speed,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),115.0 kg (253.5 pounds),,,,,5.00 litres (1.32 US gallons),0.98 litres (0.26 US gallons),Electric & kick,9.0 HP (6.6  kW)) @ 6000 RPM,10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 3500 RPM,88.5 km/h (55.0 mph),,Chain   (final drive),Variable rate coil spring suspension with anti-dive front suspension,Adjustable front/rear suspension,0.0783 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",,,CDI,,,,,,,,,,,,Wet Sump Forced Lubrication,Wet Multidisc,2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,Monocoque,,"Lime, Silver, Blue",,,,Early Legends utilize black mirrors where later Legends utilize chrome mirrors,,,,,
Triumph Bonneville,2002,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",9.2:1,86.0 x 68.0 mm (3.4 x 2.7 inches),,Air,5-speed,,,,,Single disc,255 mm (10.0 inches),Single disc,205.0 kg (451.9 pounds),1105 mm (43.5 inches),2250 mm (88.6 inches),860 mm (33.9 inches),1493 mm (58.8 inches),16.00 litres (4.23 US gallons),,,61.0 HP (44.5  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,,,,,,0.2976 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Magna 250,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",11.0:1,60.0 x 44.1 mm (2.4 x 1.7 inches),Carburettor,Liquid,5-speed,,,120/80-17 61S ,150/80-15 M/C 70S ,Single disc,,Expanding brake,171.0 kg (377.0 pounds),1065 mm (41.9 inches),2315 mm (91.1 inches),880 mm (34.6 inches),1620 mm (63.8 inches),11.00 litres (2.91 US gallons),,,27.0 HP (19.7  kW)) @ 10000 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 7500 RPM,,4,,,,0.1579 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,235.0 kg (518.1 pounds),,2235 mm (88.0 inches),,1510 mm (59.4 inches),12.50 litres (3.30 US gallons),1.90 litres (0.50 US gallons),,,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 4400 RPM,,,Belt   (final drive),,,,"711 mm (28.0 inches) If adjustable, lowest setting.",,170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 Nighthawk,2002,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),,Air,5-speed,140 mm (5.5 inches),99 mm (3.9 inches),90/100-18 ,120/90-16 ,Expanding brake,,Expanding brake,130.2 kg (287.0 pounds),,,,1430 mm (56.3 inches),19.50 litres (5.15 US gallons),3.60 litres (0.95 US gallons),,,,,2,Chain   (final drive),,,,"744 mm (29.3 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 SPR,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,Liquid,6-speed,118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 56W ,190/50-ZR17 73W ,Dual disc,210 mm (8.3 inches),Single disc,188.0 kg (414.5 pounds),,2007 mm (79.0 inches),685 mm (27.0 inches),1398 mm (55.0 inches),21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),Electric,146.0 HP (106.6  kW)) @ 13000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 11000 RPM,286.0 km/h (177.7 mph),4,Chain   (final drive),,,0.7766 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 S i.e.,2002,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",10.7:1,80.0 x 61.5 mm (3.1 x 2.4 inches),Injection,Air,5-speed,130 mm (5.1 inches),148 mm (5.8 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,177.0 kg (390.2 pounds),,2100 mm (82.7 inches),795 mm (31.3 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),3.50 litres (0.92 US gallons),,60.0 HP (43.8  kW)) @ 9500 RPM,53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6750 RPM,,2,Chain   (final drive),,,0.3390 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS SM 50 Rookie,2002,Super motard," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,160 mm (6.3 inches),250 mm (9.8 inches),100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,1340 mm (52.8 inches),8.00 litres (2.11 US gallons),,,,,,,Chain   (final drive),,,,"865 mm (34.1 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 250,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",11.0:1,60.0 x 44.1 mm (2.4 x 1.7 inches),Carburettor,Liquid,5-speed,,,110/70-17 54H ,140/70-17 66H ,Single disc,,Single disc,140.0 kg (308.6 pounds),1050 mm (41.3 inches),2040 mm (80.3 inches),720 mm (28.3 inches),1410 mm (55.5 inches),13.00 litres (3.43 US gallons),,,32.0 HP (23.4  kW)) @ 10500 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 8500 RPM,,4,,,,0.2286 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TW 200,2002,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",9.5:1,67.0 x 55.7 mm (2.6 x 2.2 inches),,Air,5-speed,,,130/80-18 66P ,180/80-14 M/C 78P ,Single disc,,Expanding brake,120.0 kg (264.6 pounds),1110 mm (43.7 inches),2090 mm (82.3 inches),820 mm (32.3 inches),1330 mm (52.4 inches),7.00 litres (1.85 US gallons),,,16.0 HP (11.7  kW)) @ 8000 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 7000 RPM,,2,Chain   (final drive),,,0.1333 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT Electra Glide Standard,2002,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Dual disc,292 mm (11.5 inches),Single disc,344.1 kg (758.6 pounds),,2378 mm (93.6 inches),,1612 mm (63.4 inches),18.90 litres (4.99 US gallons),3.40 litres (0.90 US gallons),,,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,,Belt   (final drive),,,,"693 mm (27.3 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,2002,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),,Air,,140 mm (5.5 inches),110 mm (4.3 inches),110/80-17 57H ,130/70-18 63H ,Dual disc,245 mm (9.6 inches),Single disc,195.0 kg (429.9 pounds),1090 mm (42.9 inches),2170 mm (85.4 inches),735 mm (28.9 inches),1445 mm (56.9 inches),,,,60.9 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,,,,,,0.3123 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Husky Boy S,2002,"Minibike, cross"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,39.0 x 41.7 mm (1.5 x 1.6 inches),Carburettor,Air,1-speed,,,,,Single disc,90 mm (3.5 inches),Expanding brake,39.0 kg (86.0 pounds),,,,,,,Kick,,,,,,,,,"680 mm (26.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Beast 1000 (prototype),2002,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",,,,Liquid,,,,,,Dual disc,,Single disc,,,,,,,,Electric,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This protoype was shown at Intermot 2001 and now Milan 2002. Press releases from Sachs indicate that the model might be in production in 2003 or 2004. It is also said that only 1000 models will be produced, so interested enthusiasts are encouraged to join  the queue in order to obtain one.",,,,,,,,,,,,,,,
Yamaha WR 426 F,2002,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",426.0 ccm (25.99 cubic inches),"Single cylinder, four-stroke",12.5:1,95.0 x 60.1 mm (3.7 x 2.4 inches),,Liquid,,300 mm (11.8 inches),315 mm (12.4 inches),90/90-21 ,130/90-18 ,Single disc,240 mm (9.4 inches),Single disc,112.5 kg (248.0 pounds),1303 mm (51.3 inches),2270 mm (89.4 inches),835 mm (32.9 inches),1490 mm (58.7 inches),,,,,,,5,,,,,"998 mm (39.3 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),375 mm (14.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 LT,2002,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1172.0 ccm (71.52 cubic inches),"In-line four, four-stroke",,75.0 x 70.0 mm (3.0 x 2.8 inches),,,,130 mm (5.1 inches),102 mm (4.0 inches),120/70-R17 ,160/70-R17 ,,,,378.0 kg (833.3 pounds),,,,,23.00 litres (6.08 US gallons),4.00 litres (1.06 US gallons),,98.0 HP (71.5  kW)) @ 6750 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 4750 RPM,200.0 km/h (124.3 mph),4,Shaft drive (cardan)   (final drive),,,0.2593 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 250 Drag Star,2002,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor,Air,5-speed,140 mm (5.5 inches),100 mm (3.9 inches),80/100-18 47P ,130/90-15 M/C 66P ,Single disc,130 mm (5.1 inches),Expanding brake,147.0 kg (324.1 pounds),1075 mm (42.3 inches),2320 mm (91.3 inches),910 mm (35.8 inches),1530 mm (60.2 inches),11.00 litres (2.91 US gallons),,,21.1 HP (15.4  kW)) @ 8000 RPM,20.7 Nm (2.1 kgf-m or 15.3 ft.lbs) @ 6000 RPM,,2,Chain   (final drive),Cartridge fork,Dual shocks,0.1435 HP/kg,"670 mm (26.4 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),150 mm (5.9 inches),,,,,,,,,,,,,,Multi plate wet,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800 C,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,101.0 x 112.0 mm (4.0 x 4.4 inches),Injection,,5-speed,130 mm (5.1 inches),100 mm (3.9 inches),130/70-18 ,180/70-16 ,Dual disc,316 mm (12.4 inches),Single disc,320.0 kg (705.5 pounds),,,,1715 mm (67.5 inches),17.00 litres (4.49 US gallons),,,107.0 HP (78.1  kW)) @ 5000 RPM,163.0 Nm (16.6 kgf-m or 120.2 ft.lbs) @ 3000 RPM,180.0 km/h (111.8 mph),3,Shaft drive (cardan)   (final drive),,,0.3344 HP/kg,"693 mm (27.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Grasstracker,2002,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),,Air,5-speed,,,,,Single disc,,Expanding brake,124.0 kg (273.4 pounds),1130 mm (44.5 inches),1995 mm (78.5 inches),900 mm (35.4 inches),1325 mm (52.2 inches),6.00 litres (1.59 US gallons),,,20.0 HP (14.6  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,4,,,,0.1613 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 250 F,2002,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",12.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),,Liquid,,300 mm (11.8 inches),315 mm (12.4 inches),90/90-21 54R ,120/90-18 65R ,Single disc,240 mm (9.4 inches),Single disc,102.0 kg (224.9 pounds),1303 mm (51.3 inches),2165 mm (85.2 inches),827 mm (32.6 inches),1475 mm (58.1 inches),,,,,,,5,,,,,"998 mm (39.3 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),382 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 N Bandit,2002,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,Carburettor,Oil & air,6-speed,,,120/60-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,,,,,,,,Electric,,,207.6 km/h (129.0 mph),2,Chain   (final drive),,Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,
Honda CD 125 T Benly,2002,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Carburettor,Air,5-speed,,,,,Expanding brake,,Expanding brake,133.0 kg (293.2 pounds),1050 mm (41.3 inches),1980 mm (78.0 inches),780 mm (30.7 inches),1280 mm (50.4 inches),10.00 litres (2.64 US gallons),,,11.0 HP (8.0  kW)) @ 9000 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6500 RPM,,,,,,0.0827 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Overhead Cams (OHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
