Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Harley-Davidson FXST 1340 Softail Custom,1986,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,167.0 km/h (103.8 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5,1986,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,199.0 km/h (123.7 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5 (with sidecar),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,145.0 km/h (90.1 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,331.0 kg (729.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100,1986,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,,10.0:1,76.0 x 58.0 mm (3.0 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/80-18 ,150/70-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1986,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,154.0 km/h (95.7 mph),9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900,1986,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,217.0 km/h (134.8 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 500 (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),12.0:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 500 LC,1986,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V4, two-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,223.0 km/h (138.6 mph),6.6:1,56.4 x 50.0 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KD 80 M,1986,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)),98.0 km/h (60.9 mph),,,,Membrane,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,5.00 litres (1.32 US gallons),4.0 Nm (0.4 kgf-m or 3.0 ft.lbs),20.00 seconds,24.00 seconds,,12000,Carburettor. Kehin 35mm Undercover,Digital,Two Stroke Mix,Dry Plate,,,Single 2 Stroke Exhaust,Kawasaki Cradle,,,,,,,,,,,,,,,"Red, Blue",Kick,,82.0 kg (180.8 pounds),0.1463 HP/kg,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1000 RX (reduced effect),1986,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,243.0 km/h (151.0 mph),10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,267.0 kg (588.6 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R,1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 10500 RPM,216.0 km/h (134.2 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CMX 450 Rebel,1986,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",38.0 HP (27.7  kW)) @ 8000 RPM,,9.3:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 56S tubeless ,140/90-18 70S tubeless ,Single disc,Expanding brake (drum brake),185.0 kg (407.9 pounds),12.00 litres (3.17 US gallons),,,,,,Carburettor. dual 29.3mm venturi,capacitive discharge,wet sump,"wet, multi-plate",,,,double cradle,32.0°,135 mm (5.3 inches),telescopic forks,,swing arm shock absorber,,"690 mm (27.2 inches) If adjustable, lowest setting.",,1170 mm (46.1 inches),2230 mm (87.8 inches),800 mm (31.5 inches),155 mm (6.1 inches),1530 mm (60.2 inches),2.50 litres (0.66 US gallons),Pearl Stellar Black or Monte Rosa Silver Metallic,Electric,,174.0 kg (383.6 pounds),0.2184 HP/kg,,,,,,,,,,,,,,,,info taken from Honda Service Manual 61MM201,,,
Puch GS 504 F 4 T,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,130.0 km/h (80.8 mph),9.2:1,90.0 x 79.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600 E,1986,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",561.0 ccm (34.23 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,146.0 km/h (90.7 mph),9.5:1,96.0 x 78.0 mm (3.8 x 3.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),11.60 litres (3.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1986,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
