Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
GAS GAS EC 450 4T,2011,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,Injection. Kokusan fuel injection system (Batteryless) ,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,Chrom-Molybdenum frame with B-profil,45 mm upside-down Marzocchi fork,One-piece aluminium swing arm progressive system with Sachs shock absorber,90/90-21 ,140/80-18 ,"Single disc. Wave floating, 2-piston caliper",220 mm (8.7 inches),"Single disc. Wave disc, 1-piston caliper ",Light aluminium spoke rim ,"940 mm (37.0 inches) If adjustable, lowest setting.",,2200 mm (86.6 inches),,,1475 mm (58.1 inches),7.50 litres (1.98 US gallons),Black/red/white,Electric & kick,,,Spanish brand.,,Multidisc hidraulic operated AJP.,,,,,,,97.0 x 60.8 mm (3.8 x 2.4 inches),4,Integrated in the injection system.,,,290 mm (11.4 inches),310 mm (12.2 inches),118.0 kg (260.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Bull 125 RS,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.6 HP (6.3  kW)) @ 7000 RPM,Carburettor,,Air,Automatic,Belt   (final drive),CVT,,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,,,1155 mm (45.5 inches),1830 mm (72.0 inches),670 mm (26.4 inches),,,6.80 litres (1.80 US gallons),,Electric & kick,12 Volt 7 Ah battery,,Made in Taiwan.,,,,,,,,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,CDI,Compress and splash combined,,,,118.0 kg (260.1 pounds),,0.0729 HP/kg,,124.0 kg (273.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Boom Trikes Muscle Low Rider,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1596.0 ccm (97.39 cubic inches),"Four cylinder boxer, four-stroke",100.0 HP (73.0  kW)),Injection,,Liquid,4-speed,,"VW-semi trailing transmission, 1 reverse / 4 forward gears",Wear-resistant ABS plastic,"Comfort fork, polished stainless steel Ø 48 mm",Alloy semi trailing link axle with adjustable suspension,170/60-17 ,295/50-15 ,Single disc,,Single disc,"Chromium alloy rims, SLC, hole pattern",,1440 mm (56.7 inches),3555 mm (140.0 inches),1920 mm (75.6 inches),,,38.00 litres (10.04 US gallons),"Red, blue, yellow, black, brown, dark green, light blue.",Electric,,,1.6 litre Ford-Zetec-engine.,170.0 km/h (105.6 mph),,8.00 litres/100 km (12.5 km/l or 29.40 mpg),185.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Digital speedometer, tachometer, fuel gauge and warning light panel",,,,,,,,"4 into 2, polished stainless steel",,,"700.0 kg (1,543.2 pounds)",,0.1429 HP/kg,,,,,,,2 seats,,,,,,,,,,,,,,,,,,,,,
Sherco SE 2.5i -F,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,Injection. Electronic intake pipe injection/digital engine management: Magnetti Marelli,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,6 speed sequential gearbox. Gears in primary drive secondary drive with chain,Simple Chrome-Molybdenum and aluminium double cradle design,"Paioli telescopic fork, Ø46 mm tubes rebound and compression adjustable","Sachs progressive, multiadjustable rear shock utilizing a linkage and rod system",1.60-21 ,2.15-18 ,Single disc,,Single disc,Aluminum rims,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,385 mm (15.2 inches),1485 mm (58.5 inches),7.50 litres (1.98 US gallons),Blue/white,Electric,12 V / 7Ah battery. Ducati Energia alternator 150 W.,,,,"Hydraulic, multidisc in oil bath",,,,,Sherco engine,,78.0 x 52.2 mm (3.1 x 2.1 inches),4,,Dry sump,Stainless steel header pipe and muffler with catalytic converter meets Euro 3 stds.,295 mm (11.6 inches),320 mm (12.6 inches),102.0 kg (224.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 150 SX,2011,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",143.6 ccm (8.76 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin PWK 38S AG,,Liquid,6-speed,Chain   (final drive),14:50. Primary drive: 23:73.,Cental double-cradle-type 25CrMo4. Subframe: Aluminium.,WP USD  48 mm (1.89 in),WP PDS shock absorber,80/100-21 ,100/90-19 ,Single disc,220 mm (8.7 inches),Single disc,"1,60 x 21in., 2,15 x 19in. Excel","992 mm (39.1 inches) If adjustable, lowest setting.",,,,385 mm (15.2 inches),1480 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/black/white,Kick,,,,,"Wet mDouble disk clutch, operated hydraulically",,,,,,,56.0 x 58.4 mm (2.2 x 2.3 inches),,Kokusan,Mixture oil lubrication 1:40,Aluminium,185 mm (7.3 inches),185 mm (7.3 inches),88.8 kg (195.8 pounds),,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono V4R,2011,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"V4, four-stroke",162.0 HP (118.2  kW)) @ 11000 RPM,Injection. Four Weber-Marelli 48mm throttle bodies with four injectors. Airbox with front dynamic air intakes.,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),"Straight cut gears and integrated flexible coupling, drive ratio: 73/44 primay drive. Chain 42/16  final drive.",Twin spar aluminium,"Sachs, 43mm titanium nitride (TiN)  USD fork, fully adjustable for compression and rebound damping, and preload","monoshock, fully adjustable for compression and rebound damping, and preload",120/70-17. ,190/55-17 ,Double disc. Brembo monobloc calipers,220 mm (8.7 inches),Single disc. Bremo,cast aluminium wheels with 3 split spoke,"840 mm (33.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2060 mm (81.1 inches),800 mm (31.5 inches),120 mm (4.7 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),Black,Electric,Flywheel mounted 420W alternator with rare earth magnets,,Traction control ,,"Slipper clutch, Aprilia Quick Shift (AQS) system",,,,,Longitudinal 65° V twin,13.0:1,78.0 x 52.2 mm (3.1 x 2.1 inches),4,"Ride-by-wire engine management with three selectable maps – Track, Sport, Road",Wet sump lubrication system with oil radiator and two oil pumps,"4 into 2 into 1 layout, single oxygen sensor",120 mm (4.7 inches),130 mm (5.1 inches),179.0 kg (394.6 pounds),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 9000 RPM,0.9050 HP/kg,,,25.0°,108 mm (4.2 inches),,,,,,,,,,,,,,,,,,,,,,,,
Kreidler LML Star Deluxe 125,2011,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)),Carburettor,,Air,4-speed,,,,Telescopic fork,Hydraulic shock absorbers,3.50-10 ,3.50-10 ,Single disc,150 mm (5.9 inches),Expanding brake (drum brake),,"820 mm (32.3 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),1835 mm (72.2 inches),695 mm (27.4 inches),,1235 mm (48.6 inches),5.50 litres (1.45 US gallons),White,Electric & kick,,Gloves compartment,,83.0 km/h (51.6 mph),,,,,,,,,,,,,,,,,,,121.0 kg (266.8 pounds),,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max Hermes,2011,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1671.6 ccm (102.00 cubic inches),"V4, four-stroke",200.0 HP (146.0  kW)) @ 9000 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,"52mm telescopic cartridge fork w/oxidized titanium coating. Fully adjustable preload, compression and rebound","Monoshock w/remote reservoir and remote adjustable for preload, compression and rebound",120/70-R18 ,200/50-R18 ,Double disc,298 mm (11.7 inches),Single disc,,"775 mm (30.5 inches) If adjustable, lowest setting.",1189 mm (46.8 inches),2395 mm (94.3 inches),820 mm (32.3 inches),140 mm (5.5 inches),1699 mm (66.9 inches),15.14 litres (4.00 US gallons),Gray/brown.,Electric,,,,,"Wet, slipper, cable operated ",8.71 litres/100 km (11.5 km/l or 27.01 mpg),202.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,65° V4 . Forged aluminum pistons and NGK® Iridium spark plugs with R1-type direct ignition coils,11.3:1,90.0 x 66.0 mm (3.5 x 2.6 inches),4,,Wet sump,,120 mm (4.7 inches),110 mm (4.3 inches),283.0 kg (623.9 pounds),166.8 Nm (17.0 kgf-m or 123.0 ft.lbs) @ 6500 RPM,0.7067 HP/kg,5.90 litres (6.23 US quarts),310.0 kg (683.4 pounds),31.0°,147 mm (5.8 inches),,,2 person seat,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 1250S,2011,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1255.0 ccm (76.58 cubic inches),"In-line four, four-stroke",96.6 HP (70.5  kW)) @ 7500 RPM,"Injection. Suzuki Dual Throttle Valve fuel injection system, 36mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),"RK GB50GSVZ3, 118 links",,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,180/55-ZR17 ,Double disc. 4-piston,240 mm (9.4 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",1250 mm (49.2 inches),2130 mm (83.9 inches),790 mm (31.1 inches),135 mm (5.3 inches),1485 mm (58.5 inches),19.00 litres (5.02 US gallons),Blue,Electric,,,,,Hydraulic clutch with coil springs,,,"Analog tachometer, LCD digital speedometer, LCD fuel gauge and clock, and LED indicator lamps.",12 Month Limited Warranty,,10.5:1,79.0 x 64.0 mm (3.1 x 2.5 inches),,Transistorized,Wet sump,Catalyzer equipped high-volume muffler,120 mm (4.7 inches),137 mm (5.4 inches),239.0 kg (526.9 pounds),,0.4040 HP/kg,,250.0 kg (551.2 pounds),25.7°,107 mm (4.2 inches),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C50 Special Edition,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,Injection,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Cradle-type steel frame,Telescopic forks with polished aluminum sliders and polished stainless steel stanchion-tube covers,"Link type, coil spring, oil damped",130/90-M16 ,170/80-M15 ,Single disc,180 mm (7.1 inches),Expanding brake (drum brake),Cast aluminum wheels,"700 mm (27.6 inches) If adjustable, lowest setting.",,2500 mm (98.4 inches),955 mm (37.6 inches),140 mm (5.5 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),"Gray/Silver, Green/White",,,,,,Hydraulic clutch with back-torque limiter for smooth downshifts,,,,,,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Electronic ignition (Transistorized),Wet sump,,,,,,,,277.0 kg (610.7 pounds),,,Powerful multi-reflector headlight,,,Dual spark plugs on each cylinder for better combustion and lower emissions,,,,,,,,,,,,,,,,,,,,
Tauris Brisa 50 4T,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.7 HP (2.0  kW)) @ 8000 RPM,,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),CVT automatic,Steel,Telescopic fork,Twin shocks,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,"730 mm (28.7 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1820 mm (71.7 inches),730 mm (28.7 inches),,,5.00 litres (1.32 US gallons),"Beige, light blue, brown",Electric,12Volt,,,,,,,,,,,,,,,,,,87.0 kg (191.8 pounds),,0.0308 HP/kg,1.00 litres (1.06 US quarts),,,,Single headlight,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 2000 Classic LT,2011,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",,"Injection. Digital fuel injection, dual 46mm Keihin throttle bodies (2)",Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),Tetra-Lever shaft drive,"Steel, double-cradle with box-section single-tube backbone",49mm telescopic fork / 5.9 in.,"Triangulated steel pipe swingarm with direct-action single shock, with fully-adjustable spring preload, eight-way rebound damping / 3.9 in.",150/80-16 ,200/60-16 ,Double disc,320 mm (12.6 inches),Single disc,,"681 mm (26.8 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),2535 mm (99.8 inches),1026 mm (40.4 inches),135 mm (5.3 inches),1519 mm (59.8 inches),20.82 litres (5.50 US gallons),Metallic Diablo Black/Candy Imperial Blue,Electric,,,,,,,,,24 months,,9.5:1,103.0 x 123.2 mm (4.1 x 4.9 inches),4,TCBI with Digital Advance,,,,,,191.2 Nm (19.5 kgf-m or 141.0 ft.lbs) @ 2800 RPM,,,401.1 kg (884.2 pounds),32.0°,183 mm (7.2 inches),,,,,,,,,,,,,,,,,,,,,,,,
Boom Trikes V1 Firebird,2011,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",459.0 ccm (28.01 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)),Injection,,,Automatic,,Variomatic with reverse,"2-parted tubular frame, bolted","48 mm, stainless steel with, alloy or stainless steel fork crown",Alloy semi-trailing-link-axle with adjustable suspension,170/60-17 ,295/50-15 ,Single disc,,"Single disc. Self-adjusting, ventilated rear disc brakes","Alloy rim SLC chrome, Shark-Design",,1240 mm (48.8 inches),3240 mm (127.6 inches),1510 mm (59.4 inches),,,32.50 litres (8.59 US gallons),,Electric,,,,,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Tachometer, digital speedometer, fuel gauge and warning light panel",2 years,,,,,,,"Chrome-plated muffler-tip, manifold in stainless steel",,,450.0 kg (992.1 pounds),,0.0889 HP/kg,,,,,,,,Catalytic converte,,,,,,,,,,,,,,,,,,,,
Yamaha XVS1300A Midnight Star,2011,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1304.0 ccm (79.57 cubic inches),"V2, four-stroke",71.7 HP (52.4  kW)) @ 5500 RPM,Injection,Overhead Cams (OHC),Liquid,5-speed,Belt   (final drive),"Constant Mesh, 5-speed",Double cradle,Telescopic forks,Swingarm,130/90-M16 ,170/70-B16 ,Single disc,298 mm (11.7 inches),Single disc,,"715 mm (28.1 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2490 mm (98.0 inches),980 mm (38.6 inches),145 mm (5.7 inches),1690 mm (66.5 inches),18.50 litres (4.89 US gallons),,Electric,,,,,"Multiple-disc coil spring, Wet",,,,,,9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,TCI,Wet sump,,,,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 10800 RPM,,3.70 litres (3.91 US quarts),303.0 kg (668.0 pounds),,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,
Sym Allo 125,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,Automatic,Belt   (final drive),Automatic CVT,,Telescopic Fork,Unit Swing Arm,110/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1125 mm (44.3 inches),1905 mm (75.0 inches),690 mm (27.2 inches),,1310 mm (51.6 inches),5.20 litres (1.37 US gallons),"Blue, black, white, cream",Electric,,,Made in Taiwan.,,,,,Analogue,,Electroplated ceramic cylinder,,,,CDI,,,,,100.0 kg (220.5 pounds),,,1.00 litres (1.06 US quarts),,,,12V 35/35W headlights,,2-person seat,Euro3,,,,,,,,,,,,,,,,,,,,
Keeway Milan 50,2011,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, four-stroke",3.4 HP (2.4  kW)) @ 7250 RPM,Carburettor,,Air,Automatic,Belt   (final drive),,,Telescopic fork,Single shock,3.00-10 ,3.00-10 ,Single disc,,Expanding brake (drum brake),,,1100 mm (43.3 inches),1605 mm (63.2 inches),595 mm (23.4 inches),70 mm (2.8 inches),1155 mm (45.5 inches),5.60 litres (1.48 US gallons),,Electric & kick,,,,45.0 km/h (28.0 mph),"Dry, centrifugal, CVT system",,,,,,6.9:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,C.D.I.,,,,,70.0 kg (154.3 pounds),4.0 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 5520 RPM,0.0479 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland 750cc Desert X,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,"Injection. EFI, fullu adjustable",Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),6-speed constant mesh,HyTens stainless steel,Telescopic fork,PDS,110/80-19 ,150/70-17 ,Single disc. Four-piston,320 mm (12.6 inches),Single disc. Single piston,,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,345 mm (13.6 inches),1506 mm (59.3 inches),15.14 litres (4.00 US gallons),Yellow/black,Electric,,,,,"Wet, multiplate",,,,,60 degree V-engine,,,4,"Digital, coil on plug",Wet sump,,300 mm (11.8 inches),269 mm (10.6 inches),,,,,,,,,,,,Both Highland and USHighland used as brand name.,,,,,,,,,,,,,,,,,,,
Eagle-Wing DB250 Street,2011,Sport," 2.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",24.1 HP (17.6  kW)) @ 8000 RPM,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,,,Steel,"Hydraulic, upside down fork","Hydraulic, central mono-shock",110/70-17 ,140/70-17 ,Double disc,,Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2100 mm (82.7 inches),720 mm (28.3 inches),,1390 mm (54.7 inches),15.00 litres (3.96 US gallons),"Blue/silver, black",Electric,12 V,,South-African brand,,,,,,,,,67.0 x 65.0 mm (2.6 x 2.6 inches),,,,,,,135.0 kg (297.6 pounds),,0.1788 HP/kg,,150.0 kg (330.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Estrella,2011,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)),Injection,Single Overhead Cams (SOHC),,5-speed,Chain   (final drive),,"Steel, semi double cradle",Telescopic fork,Swing arm,,,Single disc,,Expanding brake (drum brake),,,,,,,,,"Candy Imperial Blue, Polar White/Candy Burnt Orange",Electric,,,Sold in Japan.,,,,,,,,9.0:1,,2,,,,,,160.0 kg (352.7 pounds),,0.1250 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Mana 850,2011,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",75.1 HP (54.8  kW)) @ 8000 RPM,Injection. Integrated engine management system. Weber Marelli electronic fuel injection with one 38 mm throttle body,,Liquid,Automatic,Chain   (final drive),Primary drive: Belt.  Final drive: Chain,High strength steel trellis ,43 mm upside-down fork.,Aluminium alloy single-piece swingarm.  Hydraulic shock absorber adjustable in spring preload and rebound damping. ,120/70-17 ,180/55-17 ,Double disc,260 mm (10.2 inches),Single disc,Aluminium alloy. Front: 3.50 x 17´ Rear: 6.00 x 17´ ,"800 mm (31.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2080 mm (81.9 inches),800 mm (31.5 inches),,1463 mm (57.6 inches),16.00 litres (4.23 US gallons),"Redy, white, black",Electric,,,,,Automatic,,,,,Aprilia 90° longitudinal V twin,10.0:1,88.0 x 69.0 mm (3.5 x 2.7 inches),4,"Digital electronic ignition, with two spark plugs per cylinder, integrated with fuel injection system",Dry sump with separate oil reservoir,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe,120 mm (4.7 inches),125 mm (4.9 inches),185.0 kg (407.9 pounds),73.0 Nm (7.4 kgf-m or 53.8 ft.lbs),0.4059 HP/kg,,,25.0°,103 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Crosscage,2011,Prototype / concept model," 3.7  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",,Electric,,,,,,,,,single-sided front forks,single sided swingarm,,,Single disc,,Single disc,cast aluminium,,1020 mm (40.2 inches),1985 mm (78.1 inches),645 mm (25.4 inches),,,,,Electric,,,Fuel cell hydrogen engine,,,,,,,,,,,,,,,,156.0 kg (343.9 pounds),,,,,,,,,,Zero CO2 emissions,,,,,,,,,,,,,,,,,,,,
